name,genre,address,phone,url,source
焼肉ホルモンこたろう 尼崎店,,兵庫県尼崎市昭和通８丁目２７９-４,066-480-7039,https://www.hotpepper.jp/strJ004493483/,hotpepper
焼肉グラム,,兵庫県尼崎市南武庫之荘１丁目13-15,06-4950-8881,https://www.hotpepper.jp/strJ003762677/,hotpepper
炭火焼肉 昭和ホルモン 阪神尼崎店,,兵庫県尼崎市神田中通３-３０ ２F,,https://www.hotpepper.jp/strJ004591651/,hotpepper
大衆焼肉 吟～ぎん～ 阪急伊丹駅前店,,兵庫県伊丹市中央１-6-6 2F,072-764-6665,https://www.hotpepper.jp/strJ004591867/,hotpepper
鶏と牛の焼肉店　五分五分,,兵庫県尼崎市昭和南通４-43 Tキューブ1B5,06-6480-5551,https://www.hotpepper.jp/strJ004558211/,hotpepper
ビーフ飯店 伊丹店,,兵庫県伊丹市荻野８丁目４８,072-782-7768,https://www.hotpepper.jp/strJ000480772/,hotpepper
厳選和牛焼肉　犇屋 　伊丹店,,兵庫県伊丹市瑞ヶ丘1-41,072-778-0129,https://www.hotpepper.jp/strJ001118549/,hotpepper
焼肉 虎のゆうや,,兵庫県尼崎市南塚口町２丁目１６－２ 南塚口ビル２階,06-4950-8900,https://www.hotpepper.jp/strJ004402204/,hotpepper
焼肉しんちゃん　南武庫之荘店,,兵庫県尼崎市南武庫之荘３丁目３-１８,06-6431-0577,https://www.hotpepper.jp/strJ003340027/,hotpepper
焼肉　虎次郎,,兵庫県尼崎市久々知西町１－５－１６,06-6422-2923,https://www.hotpepper.jp/strJ000712031/,hotpepper
肉料理屋 虎次郎,,兵庫県伊丹市千僧３－１４０ ヴィラメープル1F,072-782-2540,https://www.hotpepper.jp/strJ001040927/,hotpepper
とり焼肉　はちろく,,兵庫県尼崎市昭和南通６-134 清国中央ビル1F,06-4950-7075,https://www.hotpepper.jp/strJ003736301/,hotpepper
炭火焼肉GYUー,,兵庫県尼崎市長洲西通１丁目１ー１７,06-6488-1129,https://www.hotpepper.jp/strJ003850027/,hotpepper
焼肉　遊,,兵庫県尼崎市南武庫之荘１-20-15,06-7850-8493,https://www.hotpepper.jp/strJ001281792/,hotpepper
焼肉しずる あまがさきキューズモール店,,兵庫県尼崎市潮江１-3-1,06-6493-2929,https://www.hotpepper.jp/strJ001232662/,hotpepper
